comment_id,seg_id,rb_seg_text,uns_seg_text,hyb_seg_text,seg_text,rb_terms_raw,unsup_terms_raw,hyb_terms_raw,rb_terms,unsup_terms,hyb_terms,silver_terms_raw,n_silver_raw,rule_based_prec_raw,rule_based_rec_raw,unsupervised_prec_raw,unsupervised_rec_raw,hybrid_topk_prec_raw,hybrid_topk_rec_raw
3,1,Perancis memang patokan dan ahlinya kalo tenaga Nuklir.,Perancis memang patokan dan ahlinya kalo tenaga Nuklir.,Perancis memang patokan dan ahlinya kalo tenaga Nuklir.,Perancis memang patokan dan ahlinya kalo tenaga Nuklir.,"['perancis', 'patokan', 'ahli', 'tenaga nuklir', 'nuklir']","['nuklir', 'tenaga']","['patokan', 'perancis']","['perancis', 'patokan', 'ahli', 'tenaga nuklir', 'nuklir']","['nuklir', 'tenaga']","['patokan', 'perancis']",['nuklir'],1,0.2,1.0,0.5,1.0,0.0,0.0
4,0,Meskipun solar efektifnya di siang hari tapi listriknya kan bisa disimpen di batere dan sebagai negara deket equator seharusnya tiap hari bisa ngecharge baterenya.,Meskipun solar efektifnya di siang hari tapi listriknya kan bisa disimpen di batere dan sebagai negara deket equator seharusnya tiap hari bisa ngecharge baterenya.,Meskipun solar efektifnya di siang hari tapi listriknya kan bisa disimpen di batere dan sebagai negara deket equator seharusnya tiap hari bisa ngecharge baterenya.,Meskipun solar efektifnya di siang hari tapi listriknya kan bisa disimpen di batere dan sebagai negara deket equator seharusnya tiap hari bisa ngecharge baterenya.,"['surya efektif', 'siang', 'listrik', 'baterai', 'negara equator', 'equator', 'isi daya', 'daya baterai', 'surya', 'negara']","['surya', 'baterai', 'listrik', 'daya', 'negara']","['negara equator', 'equator', 'siang']","['surya efektif', 'siang', 'listrik', 'baterai', 'negara equator', 'equator', 'isi daya', 'daya baterai', 'surya', 'negara']","['surya', 'baterai', 'listrik', 'daya', 'negara']","['negara equator', 'equator', 'siang']","['baterai', 'listrik', 'negara', 'surya']",4,0.4,1.0,0.8,1.0,0.0,0.0
5,0,"Itu masalahnya, teknologi energy storage buat nyimpen energi listrik skala sebesar kota itu belum cukup matang.","Itu masalahnya, teknologi energy storage buat nyimpen energi listrik skala sebesar kota itu belum cukup matang.","Itu masalahnya, teknologi energy storage buat nyimpen energi listrik skala sebesar kota itu belum cukup matang.","Itu masalahnya, teknologi energy storage buat nyimpen energi listrik skala sebesar kota itu belum cukup matang.","['teknologi energi', 'energi storage', 'storage', 'energi listrik', 'listrik skala', 'skala', 'kota', 'teknologi', 'energi']","['teknologi', 'energi', 'listrik', 'kota', 'skala']","['storage', 'kota', 'skala']","['teknologi energi', 'energi storage', 'storage', 'energi listrik', 'listrik skala', 'skala', 'kota', 'teknologi', 'energi']","['teknologi', 'energi', 'listrik', 'kota', 'skala']","['storage', 'kota', 'skala']","['energi', 'kota', 'skala', 'teknologi']",4,0.4444444444444444,1.0,0.8,1.0,0.6666666666666666,0.5
5,1,"dan walaupun udah ada beberapa, masih mahal dan belum cukup besar","dan walaupun udah ada beberapa, masih mahal dan belum cukup besar","dan walaupun udah ada beberapa, masih mahal dan belum cukup besar","dan walaupun udah ada beberapa, masih mahal dan belum cukup besar",[],[],[],[],[],[],[],0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,Large scale storage belum ada bro.,Large scale storage belum ada bro.,Large scale storage belum ada bro.,Large scale storage belum ada bro.,"['large', 'scale', 'storage']","['storage', 'large', 'scale']","['storage', 'large', 'scale']","['large', 'scale', 'storage']","['storage', 'large', 'scale']","['storage', 'large', 'scale']","['large', 'scale', 'storage']",3,1.0,1.0,1.0,1.0,1.0,1.0
6,1,Kalau pakai lithium mahal minta ampun.,Kalau pakai lithium mahal minta ampun.,Kalau pakai lithium mahal minta ampun.,Kalau pakai lithium mahal minta ampun.,"['lithium mahal', 'ampun', 'lithium']",[],"['lithium mahal', 'lithium', 'ampun']","['lithium mahal', 'ampun', 'lithium']",[],"['lithium mahal', 'lithium', 'ampun']",[],0,0.0,0.0,1.0,1.0,0.0,0.0
6,2,"Tapi emang byk yg lagi dikembangin, kaya liquid metal battery.","Tapi emang byk yg lagi dikembangin, kaya liquid metal battery.","Tapi emang byk yg lagi dikembangin, kaya liquid metal battery.","Tapi emang byk yg lagi dikembangin, kaya liquid metal battery.","['liquid metal', 'baterai']",['baterai'],['liquid metal'],"['liquid metal', 'baterai']",['baterai'],['liquid metal'],['baterai'],1,0.5,1.0,1.0,1.0,0.0,0.0
6,3,Semoga aja ada yg beneran jadi secepatnya.,Semoga aja ada yg beneran jadi secepatnya.,Semoga aja ada yg beneran jadi secepatnya.,Semoga aja ada yg beneran jadi secepatnya.,[],[],[],[],[],[],[],0,1.0,1.0,1.0,1.0,1.0,1.0
7,0,Dikira bikin baterai murah dan gampang kali ya?,Dikira bikin baterai murah dan gampang kali ya?,Dikira bikin baterai murah dan gampang kali ya?,Dikira bikin baterai murah dan gampang kali ya?,"['baterai murah', 'gampang', 'baterai']",['baterai'],"['baterai', 'gampang']","['baterai murah', 'gampang', 'baterai']",['baterai'],"['baterai', 'gampang']",['baterai'],1,0.3333333333333333,1.0,1.0,1.0,0.5,1.0
8,0,Geothermal dan hidro terbatas lokasi Ak tinggal disuatu provinsi di negara yang pake hydro sumber utama energi nya.,Geothermal dan hidro terbatas lokasi Ak tinggal disuatu provinsi di negara yang pake hydro sumber utama energi nya.,Geothermal dan hidro terbatas lokasi Ak tinggal disuatu provinsi di negara yang pake hydro sumber utama energi nya.,Geothermal dan hidro terbatas lokasi Ak tinggal disuatu provinsi di negara yang pake hydro sumber utama energi nya.,"['geothermal', 'hidro', 'lokasi', 'provinsi', 'negara', 'hydro sumber', 'sumber utama energi', 'energi', 'hydro']","['geothermal', 'hydro', 'energi', 'negara', 'lokasi', 'sumber']","['hydro sumber', 'hydro', 'hidro']","['geothermal', 'hidro', 'lokasi', 'provinsi', 'negara', 'hydro sumber', 'sumber utama energi', 'energi', 'hydro']","['geothermal', 'hydro', 'energi', 'negara', 'lokasi', 'sumber']","['hydro sumber', 'hydro', 'hidro']","['energi', 'geothermal', 'hydro', 'lokasi', 'negara']",5,0.5555555555555556,1.0,0.8333333333333334,1.0,0.3333333333333333,0.2
8,1,Jarak kota ke sumber PLTA nya lumayan jauh 80-100 km.,Jarak kota ke sumber PLTA nya lumayan jauh 80-100 km.,Jarak kota ke sumber PLTA nya lumayan jauh <NUM> - <NUM> km.,Jarak kota ke sumber PLTA nya lumayan jauh <NUM> - <NUM> km.,"['jarak kota', 'kota', 'sumber plta', 'plta']","['kota', 'sumber', 'plta']","['jarak kota', 'kota', 'plta']","['jarak kota', 'kota', 'sumber plta', 'plta']","['kota', 'sumber', 'plta']","['jarak kota', 'kota', 'plta']","['kota', 'plta']",2,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
8,2,tetap bisa pakai Tower2 listrik yang besar itu.,tetap bisa pakai Tower2 listrik yang besar itu.,tetap bisa pakai Tower2 listrik yang besar itu.,tetap bisa pakai Tower2 listrik yang besar itu.,"['tower listrik', 'listrik', 'tower']",['listrik'],['tower'],"['tower listrik', 'listrik', 'tower']",['listrik'],['tower'],['listrik'],1,0.3333333333333333,1.0,1.0,1.0,0.0,0.0
9,0,Biomass hands down.,Biomass hands down.,Biomass hands down.,Biomass hands down.,"['biomass', 'hands']","['biomass', 'hands']","['biomass', 'hands']","['biomass', 'hands']","['biomass', 'hands']","['biomass', 'hands']","['biomass', 'hands']",2,1.0,1.0,1.0,1.0,1.0,1.0
9,1,"If you re Javanese you might not notice THAT much, but if you really pay attention to Kalimantan/Sumatera, it s literally sawit everywhere.","If you re Javanese you might not notice THAT much, but if you really pay attention to Kalimantan/Sumatera, it s literally sawit everywhere.","If you re Javanese you might not notice THAT much, but if you really pay attention to Kalimantan/Sumatera, it s literally sawit everywhere.","If you re Javanese you might not notice THAT much, but if you really pay attention to Kalimantan/Sumatera, it s literally sawit everywhere.","['javanese', 'might', 'notice', 'kalimantan', 'sumatera', 'harfiah sawit']",['kalimantan'],"['javanese', 'notice', 'sumatera']","['javanese', 'might', 'notice', 'kalimantan', 'sumatera', 'harfiah sawit']",['kalimantan'],"['javanese', 'notice', 'sumatera']",['kalimantan'],1,0.16666666666666666,1.0,1.0,1.0,0.0,0.0
9,2,Terus hal yang jadi advantage biomass adalah energinya bisa dijadiin dalam bentuk liquid/cair yang mana artinya fleksibel banget.,Terus hal yang jadi advantage biomass adalah energinya bisa dijadiin dalam bentuk liquid/cair yang mana artinya fleksibel banget.,Terus hal yang jadi advantage biomass adalah energinya bisa dijadiin dalam bentuk liquid/cair yang mana artinya fleksibel banget.,Terus hal yang jadi advantage biomass adalah energinya bisa dijadiin dalam bentuk liquid/cair yang mana artinya fleksibel banget.,"['advantage biomass', 'biomass', 'energi', 'bentuk liquid', 'liquid cair', 'advantage', 'bentuk']","['biomass', 'liquid', 'advantage', 'bentuk']","['advantage biomass', 'biomass', 'bentuk liquid']","['advantage biomass', 'biomass', 'energi', 'bentuk liquid', 'liquid cair', 'advantage', 'bentuk']","['biomass', 'liquid', 'advantage', 'bentuk']","['advantage biomass', 'biomass', 'bentuk liquid']","['advantage', 'bentuk', 'biomass']",3,0.42857142857142855,1.0,0.75,1.0,0.3333333333333333,0.3333333333333333
9,3,Kebanyakan opsi elu adalah energi terbarukan yang finalnya cuma bisa dipindah pake listrik.,Kebanyakan opsi elu adalah energi terbarukan yang finalnya cuma bisa dipindah pake listrik.,Kebanyakan opsi elu adalah energi terbarukan yang finalnya cuma bisa dipindah pake listrik.,Kebanyakan opsi elu adalah energi terbarukan yang finalnya cuma bisa dipindah pake listrik.,"['pilihan', 'energi terbarukan', 'final', 'listrik']","['energi_terbarukan', 'listrik']",['final'],"['pilihan', 'energi terbarukan', 'final', 'listrik']","['energi_terbarukan', 'listrik']",['final'],['listrik'],1,0.25,1.0,0.5,1.0,0.0,0.0
9,4,"Oke lah kalo buat lokal, tapi kalo buat mencukupi Indonesia dalam skala besar kayak yang OP bilang agak susah mengingat Indonesia itu negara gede, elu harus pertimbangin juga energy loss-nya,","Oke lah kalo buat lokal, tapi kalo buat mencukupi Indonesia dalam skala besar kayak yang OP bilang agak susah mengingat Indonesia itu negara gede, elu harus pertimbangin juga energy loss-nya,","Oke lah kalo buat lokal, tapi kalo buat mencukupi Indonesia dalam skala besar kayak yang OP bilang agak susah mengingat Indonesia itu negara gede, elu harus pertimbangin juga energy loss-nya,","Oke lah kalo buat lokal, tapi kalo buat mencukupi Indonesia dalam skala besar kayak yang OP bilang agak susah mengingat Indonesia itu negara gede, elu harus pertimbangin juga energy loss-nya,","['indonesia', 'skala', 'indonesia negara', 'negara', 'energi loss', 'loss', 'energi']","['indonesia', 'energi', 'negara', 'skala', 'bilang']","['skala', 'loss']","['indonesia', 'skala', 'indonesia negara', 'negara', 'energi loss', 'loss', 'energi']","['indonesia', 'energi', 'negara', 'skala', 'bilang']","['skala', 'loss']","['energi', 'indonesia', 'negara', 'skala']",4,0.5714285714285714,1.0,0.8,1.0,0.5,0.25
9,5,"negara gede, elu harus pertimbangin juga energy loss-nya, ga","negara gede, elu harus pertimbangin juga energy loss-nya, ga","negara gede, elu harus pertimbangin juga energy loss-nya, ga","negara gede, elu harus pertimbangin juga energy loss-nya, ga","['negara', 'energi loss', 'loss', 'energi']","['energi', 'negara']",['loss'],"['negara', 'energi loss', 'loss', 'energi']","['energi', 'negara']",['loss'],"['energi', 'negara']",2,0.5,1.0,1.0,1.0,0.0,0.0
9,6,cuma besar-besaran angka.,cuma besar-besaran angka.,cuma besar-besaran angka.,cuma besar-besaran angka.,['angka'],['angka'],['angka'],['angka'],['angka'],['angka'],['angka'],1,1.0,1.0,1.0,1.0,1.0,1.0
9,7,"Sama menurut gua, skala besar itu ga berarti satu daerah/pulau bisa memasok kebutuhan satu Indonesia, nope.","Sama menurut gua, skala besar itu ga berarti satu daerah/pulau bisa memasok kebutuhan satu Indonesia, nope.","Sama menurut gua, skala besar itu ga berarti satu daerah/pulau bisa memasok kebutuhan satu Indonesia, nope.","Sama menurut gua, skala besar itu ga berarti satu daerah/pulau bisa memasok kebutuhan satu Indonesia, nope.","['skala', 'daerah pulau', 'pulau', 'kebutuhan', 'indonesia', 'daerah']","['indonesia', 'pulau', 'kebutuhan', 'daerah', 'skala']","['kebutuhan', 'skala', 'nope']","['skala', 'daerah pulau', 'pulau', 'kebutuhan', 'indonesia', 'daerah']","['indonesia', 'pulau', 'kebutuhan', 'daerah', 'skala']","['kebutuhan', 'skala', 'nope']","['daerah', 'indonesia', 'kebutuhan', 'pulau', 'skala']",5,0.8333333333333334,1.0,1.0,1.0,0.6666666666666666,0.4
9,8,Lebih bagus lagi adalah daerah-daerah yang relatif kecil kayak yang masih ngandelin pertanian bisa memasok kebutuhan energinya sendiri,Lebih bagus lagi adalah daerah-daerah yang relatif kecil kayak yang masih ngandelin pertanian bisa memasok kebutuhan energinya sendiri,Lebih bagus lagi adalah daerah-daerah yang relatif kecil kayak yang masih ngandelin pertanian bisa memasok kebutuhan energinya sendiri,Lebih bagus lagi adalah daerah-daerah yang relatif kecil kayak yang masih ngandelin pertanian bisa memasok kebutuhan energinya sendiri,"['bagus daerah-daerah', 'pertanian', 'kebutuhan energi', 'energi', 'kebutuhan']","['daerah', 'kebutuhan']","['pertanian', 'kebutuhan']","['bagus daerah-daerah', 'pertanian', 'kebutuhan energi', 'energi', 'kebutuhan']","['daerah', 'kebutuhan']","['pertanian', 'kebutuhan']",['kebutuhan'],1,0.2,1.0,0.5,1.0,0.5,1.0
9,9,sehingga ga terlalu bergantung sama daerah lain.,sehingga ga terlalu bergantung sama daerah lain.,sehingga ga terlalu bergantung sama daerah lain.,sehingga ga terlalu bergantung sama daerah lain.,['daerah'],['daerah'],['daerah'],['daerah'],['daerah'],['daerah'],['daerah'],1,1.0,1.0,1.0,1.0,1.0,1.0
9,10,"Hasil sampingnya kan biomass tuh, jadi ya berpotensial banget sebenernya.","Hasil sampingnya kan biomass tuh, jadi ya berpotensial banget sebenernya.","Hasil sampingnya kan biomass tuh, jadi ya berpotensial banget sebenernya.","Hasil sampingnya kan biomass tuh, jadi ya berpotensial banget sebenernya.","['hasil samping', 'samping', 'biomass']",['hasil'],"['biomass', 'hasil samping', 'hasil']","['hasil samping', 'samping', 'biomass']",['hasil'],"['biomass', 'hasil samping', 'hasil']",[],0,0.0,0.0,0.0,0.0,0.0,0.0
9,11,"Sebenernya masih banyak yang bisa dibahas sih soal EBT, terutama soal ke- fanatikan netizen sama tenaga nuklir","Sebenernya masih banyak yang bisa dibahas sih soal EBT, terutama soal ke- fanatikan netizen sama tenaga nuklir","Sebenernya masih banyak yang bisa dibahas sih soal EBT, terutama soal ke- fanatikan netizen sama tenaga nuklir","Sebenernya masih banyak yang bisa dibahas sih soal EBT, terutama soal ke- fanatikan netizen sama tenaga nuklir","['ebt', 'fanatikan netizen', 'netizen tenaga', 'tenaga nuklir', 'nuklir']","['nuklir', 'tenaga', 'ebt']","['netizen tenaga', 'fanatikan netizen']","['ebt', 'fanatikan netizen', 'netizen tenaga', 'tenaga nuklir', 'nuklir']","['nuklir', 'tenaga', 'ebt']","['netizen tenaga', 'fanatikan netizen']","['ebt', 'nuklir']",2,0.4,1.0,0.6666666666666666,1.0,0.0,0.0
9,12,padahal ga tau realitas aslinya di Indo kek begimana wkwkwk,padahal ga tau realitas aslinya di Indo kek begimana wkwkwk,padahal ga tau realitas aslinya di Indo kek begimana wkwkwk,padahal ga tau realitas aslinya di Indo kek begimana wkwkwk,"['realitas asli', 'indonesia', 'realitas']",['indonesia'],"['realitas asli', 'realitas']","['realitas asli', 'indonesia', 'realitas']",['indonesia'],"['realitas asli', 'realitas']",['indonesia'],1,0.3333333333333333,1.0,1.0,1.0,0.0,0.0
10,0,"Memungkinkan, selama cara tanam yang sekarang gak diterapkan ke depannya.","Memungkinkan, selama cara tanam yang sekarang gak diterapkan ke depannya.","Memungkinkan, selama cara tanam yang sekarang gak diterapkan ke depannya.","Memungkinkan, selama cara tanam yang sekarang gak diterapkan ke depannya.",['tanam'],['tanam'],['tanam'],['tanam'],['tanam'],['tanam'],['tanam'],1,1.0,1.0,1.0,1.0,1.0,1.0
10,1,"Merusak tanah banget, ckckck.","Merusak tanah banget, ckckck.","Merusak tanah banget, ckckck.","Merusak tanah banget, ckckck.",['tanah'],['tanah'],['tanah'],['tanah'],['tanah'],['tanah'],['tanah'],1,1.0,1.0,1.0,1.0,1.0,1.0
10,2,"Kalau gitu terus, mau pindah-pindah ke mana (sambil kebutuhan meningkat terus)?","Kalau gitu terus, mau pindah-pindah ke mana (sambil kebutuhan meningkat terus)?","Kalau gitu terus, mau pindah-pindah ke mana (sambil kebutuhan meningkat terus)?","Kalau gitu terus, mau pindah-pindah ke mana (sambil kebutuhan meningkat terus)?",['kebutuhan'],['kebutuhan'],['kebutuhan'],['kebutuhan'],['kebutuhan'],['kebutuhan'],['kebutuhan'],1,1.0,1.0,1.0,1.0,1.0,1.0
10,3,"Dunia 2 C sampai 2,5 C gak jauh sih","Dunia 2 C sampai 2,5 C gak jauh sih",Dunia <NUM> C sampai <NUM> C gak jauh sih,Dunia <NUM> C sampai <NUM> C gak jauh sih,"['dunia', 'c']",['dunia'],['dunia'],"['dunia', 'c']",['dunia'],['dunia'],['dunia'],1,0.5,1.0,1.0,1.0,1.0,1.0
10,4,"kalau kita mengandalkan biomasa (saat ini 1,1 C sampai 1,3 C), perlu diingat tujuan akhir kita itu untuk mendinginkan bumi.","kalau kita mengandalkan biomasa (saat ini 1,1 C sampai 1,3 C), perlu diingat tujuan akhir kita itu untuk mendinginkan bumi.","kalau kita mengandalkan biomasa (saat ini <NUM> C sampai <NUM> C), perlu diingat tujuan akhir kita itu untuk mendinginkan bumi.","kalau kita mengandalkan biomasa (saat ini <NUM> C sampai <NUM> C), perlu diingat tujuan akhir kita itu untuk mendinginkan bumi.","['biomasa', 'c', 'tujuan', 'bumi']",['bumi'],"['biomasa', 'tujuan']","['biomasa', 'c', 'tujuan', 'bumi']",['bumi'],"['biomasa', 'tujuan']",['bumi'],1,0.25,1.0,1.0,1.0,0.0,0.0
11,0,Geothermal atau panas bumi yg paling potensial.,Geothermal atau panas bumi yg paling potensial.,Geothermal atau panas bumi yg paling potensial.,Geothermal atau panas bumi yg paling potensial.,"['geothermal', 'bumi']","['geothermal', 'panas_bumi']","['panas bumi', 'geothermal']","['geothermal', 'bumi']","['geothermal', 'panas_bumi']","['panas bumi', 'geothermal']",['geothermal'],1,0.5,1.0,0.5,1.0,0.5,1.0
11,1,"Indonesia itu berada di ring of fire, jadi secara teknis kita punya potensi panas bumi yang cukup melimpah.","Indonesia itu berada di ring of fire, jadi secara teknis kita punya potensi panas bumi yang cukup melimpah.","Indonesia itu berada di ring of fire, jadi secara teknis kita punya potensi panas bumi yang cukup melimpah.","Indonesia itu berada di ring of fire, jadi secara teknis kita punya potensi panas bumi yang cukup melimpah.","['indonesia', 'ring', 'fire', 'potensi panas', 'bumi', 'potensi']","['indonesia', 'panas_bumi', 'potensi']","['fire', 'ring']","['indonesia', 'ring', 'fire', 'potensi panas', 'bumi', 'potensi']","['indonesia', 'panas_bumi', 'potensi']","['fire', 'ring']","['indonesia', 'potensi']",2,0.3333333333333333,1.0,0.6666666666666666,1.0,0.0,0.0
11,2,Kedua tenaga air.,Kedua tenaga air.,Kedua tenaga air.,Kedua tenaga air.,"['tenaga air', 'air']","['tenaga', 'air']","['tenaga air', 'tenaga', 'air']","['tenaga air', 'air']","['tenaga', 'air']","['tenaga air', 'tenaga', 'air']",['air'],1,0.5,1.0,0.5,1.0,0.3333333333333333,1.0
11,3,Tenaga air ini cukup relevan karena kita punya berbagai sungai yang alirannya deras tapi memang tidak sebanyak panas bumi.,Tenaga air ini cukup relevan karena kita punya berbagai sungai yang alirannya deras tapi memang tidak sebanyak panas bumi.,Tenaga air ini cukup relevan karena kita punya berbagai sungai yang alirannya deras tapi memang tidak sebanyak panas bumi.,Tenaga air ini cukup relevan karena kita punya berbagai sungai yang alirannya deras tapi memang tidak sebanyak panas bumi.,"['tenaga air', 'air', 'sungai', 'aliran deras', 'bumi', 'tenaga']","['panas_bumi', 'tenaga', 'air']","['sungai', 'aliran deras']","['tenaga air', 'air', 'sungai', 'aliran deras', 'bumi', 'tenaga']","['panas_bumi', 'tenaga', 'air']","['sungai', 'aliran deras']","['air', 'tenaga']",2,0.3333333333333333,1.0,0.6666666666666666,1.0,0.0,0.0
11,4,Ini biasanya lebih relevan di pulau-pulau Kalimantan yang sungainya besar-besar dan jauh dari ring of fire,Ini biasanya lebih relevan di pulau-pulau Kalimantan yang sungainya besar-besar dan jauh dari ring of fire,Ini biasanya lebih relevan di pulau-pulau Kalimantan yang sungainya besar-besar dan jauh dari ring of fire,Ini biasanya lebih relevan di pulau-pulau Kalimantan yang sungainya besar-besar dan jauh dari ring of fire,"['pulau-pulau kalimantan', 'kalimantan', 'sungai besar-besar', 'ring', 'fire', 'pulau-pulau']","['pulau', 'kalimantan']","['pulau pulau kalimantan', 'pulau pulau', 'fire']","['pulau-pulau kalimantan', 'kalimantan', 'sungai besar-besar', 'ring', 'fire', 'pulau-pulau']","['pulau', 'kalimantan']","['pulau pulau kalimantan', 'pulau pulau', 'fire']",['kalimantan'],1,0.16666666666666666,1.0,0.5,1.0,0.0,0.0
